,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
0,MS,M,16,R,GT3,T,1,0,services,other,course,father,0,0,0,no,no,no,no,yes,yes,yes,yes,2,2,4,1,3,4,0,8,7,9
1,GP,M,15,U,LE3,T,2,3,other,other,reputation,father,3,1,0,no,yes,no,no,yes,yes,yes,yes,3,3,2,2,3,4,0,4,5,15
2,GP,F,16,U,LE3,T,1,2,other,other,reputation,mother,0,1,0,no,yes,no,yes,yes,yes,yes,yes,3,5,2,0,0,5,0,11,12,16
3,GP,F,16,R,GT3,T,0,3,at_home,other,other,mother,1,1,0,no,yes,no,no,yes,yes,yes,yes,3,2,2,1,1,4,0,12,3,11
4,MS,M,17,U,GT3,T,1,1,services,services,other,mother,0,1,0,no,no,no,no,yes,no,yes,no,3,2,2,0,0,5,1,10,7,9
5,GP,F,15,U,LE3,T,0,1,other,other,other,other,0,0,0,no,yes,no,no,yes,yes,yes,no,3,3,1,2,1,4,1,10,6,16
6,MS,F,16,U,GT3,T,1,2,other,other,home,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,3,3,5,1,2,4,2,3,4,15
7,GP,F,16,U,GT3,A,3,0,at_home,other,home,mother,0,1,0,no,no,no,yes,yes,yes,yes,no,2,2,2,0,1,3,3,8,5,21
8,GP,M,15,U,LE3,T,2,4,other,services,reputation,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,2,3,1,0,1,6,13,12,15
9,GP,M,17,R,GT3,T,1,1,other,other,course,mother,0,1,0,no,yes,no,no,yes,yes,no,no,5,2,2,0,2,4,1,11,9,16
10,GP,M,17,U,GT3,T,3,1,health,services,course,other,0,0,0,no,yes,no,no,no,yes,yes,no,4,1,3,1,1,3,0,12,9,9
11,MS,F,15,U,LE3,T,1,1,other,other,course,father,0,0,0,yes,no,no,yes,yes,yes,no,no,3,1,2,1,1,2,0,7,7,9
12,MS,M,17,R,LE3,T,3,3,services,services,reputation,mother,0,0,0,no,yes,no,no,yes,yes,yes,no,3,1,5,1,1,2,11,6,3,20
13,MS,F,16,R,LE3,T,1,2,services,other,course,mother,2,2,0,no,no,no,yes,no,yes,no,yes,3,2,3,1,5,4,1,8,8,13
14,GP,M,15,U,LE3,T,1,3,services,services,reputation,mother,0,1,0,no,yes,yes,yes,yes,yes,yes,yes,3,2,3,0,0,4,6,4,6,13
15,GP,F,16,U,GT3,T,2,1,services,other,reputation,father,0,0,0,no,yes,no,yes,yes,yes,no,no,2,3,2,1,1,0,-1,9,3,19
16,MS,M,15,U,GT3,T,1,3,services,health,course,father,1,1,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,4,0,16,10,16
17,MS,F,17,U,LE3,T,1,1,health,other,course,mother,0,2,0,no,no,no,no,yes,yes,no,yes,3,2,2,0,1,5,3,5,5,11
18,MS,F,16,U,GT3,T,2,0,at_home,other,course,father,0,0,0,yes,yes,no,yes,yes,yes,no,no,3,3,3,1,1,4,3,13,10,9
19,MS,F,19,U,LE3,A,0,4,other,other,reputation,mother,1,0,0,yes,no,no,no,yes,no,yes,no,4,3,2,0,0,4,1,1,5,5
20,GP,F,15,U,GT3,T,4,1,at_home,other,reputation,mother,1,0,0,no,no,no,no,yes,yes,yes,no,3,2,3,1,1,5,0,4,9,14
21,GP,M,15,U,GT3,T,3,2,at_home,other,course,mother,1,2,0,no,no,no,no,no,yes,yes,yes,3,2,3,1,2,1,0,4,4,14
22,GP,M,18,U,LE3,T,2,1,other,teacher,reputation,mother,0,0,0,no,yes,no,no,yes,no,yes,no,5,4,2,0,2,0,0,6,15,12
23,MS,F,15,U,GT3,T,1,0,teacher,other,course,mother,0,0,0,yes,yes,no,yes,yes,yes,yes,yes,5,3,3,1,3,1,0,11,10,13
24,MS,F,16,R,GT3,T,1,2,services,services,home,mother,0,1,0,no,no,no,yes,yes,yes,no,no,3,2,5,1,2,0,24,5,6,16
25,MS,F,18,R,LE3,T,1,0,services,teacher,course,mother,0,0,0,no,yes,no,no,yes,yes,yes,yes,3,4,3,2,1,4,0,6,7,15
26,GP,F,17,R,GT3,T,2,3,other,services,course,other,0,1,0,no,no,no,no,yes,yes,yes,no,3,0,3,1,4,1,3,5,13,6
27,GP,F,16,U,LE3,T,2,3,other,other,home,mother,0,0,3,no,yes,no,no,yes,no,yes,yes,3,4,2,0,1,4,0,7,14,18
28,GP,M,16,U,GT3,T,1,2,services,other,course,mother,0,0,0,no,no,no,no,yes,yes,no,no,4,2,2,1,1,4,2,7,5,19
29,MS,F,16,U,GT3,T,0,0,services,services,course,mother,1,1,0,no,no,yes,no,yes,yes,no,yes,4,2,5,1,1,5,3,14,12,9
30,GP,F,17,R,GT3,T,3,0,other,services,course,mother,2,2,0,no,no,no,no,yes,yes,yes,no,4,3,3,0,3,1,12,8,8,19
31,GP,M,16,U,GT3,T,0,0,other,other,course,mother,0,2,0,no,yes,no,yes,yes,yes,no,no,4,3,5,0,1,5,0,10,10,15
32,GP,F,17,R,GT3,T,1,1,other,other,course,mother,1,0,0,no,no,no,no,yes,yes,yes,yes,3,3,2,1,4,4,0,4,7,7
33,MS,M,16,U,GT3,T,2,0,other,other,course,mother,1,0,0,no,yes,no,yes,yes,yes,yes,yes,3,3,3,1,2,4,3,15,7,10
34,MS,F,18,U,GT3,T,1,1,health,other,course,father,1,1,0,no,no,no,no,yes,yes,yes,no,2,3,3,1,1,4,1,7,7,19
35,GP,M,16,U,LE3,T,1,2,other,services,course,mother,2,0,0,no,yes,no,no,yes,no,yes,no,4,2,1,1,1,0,0,4,8,15
36,GP,F,18,U,LE3,T,1,3,other,health,home,mother,1,0,0,no,no,no,yes,yes,yes,yes,no,3,1,2,1,1,2,0,12,10,18
37,GP,M,15,R,GT3,T,0,1,other,services,course,mother,0,1,0,no,no,no,no,no,yes,yes,yes,3,3,3,1,3,4,-1,11,7,7
38,GP,M,17,U,GT3,T,2,3,health,other,reputation,father,0,1,1,no,yes,no,yes,no,yes,yes,yes,3,3,3,2,1,4,0,12,7,5
39,GP,F,16,R,GT3,T,2,1,health,other,course,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,3,2,3,0,1,4,2,4,9,17
40,MS,F,16,R,LE3,T,0,1,services,other,course,father,1,0,0,no,yes,no,no,yes,no,no,no,3,3,2,1,0,4,7,4,11,17
41,GP,F,17,R,GT3,T,1,0,other,other,course,other,2,1,0,no,yes,no,yes,yes,yes,yes,no,3,2,3,0,3,4,1,10,5,12
42,MS,F,15,U,GT3,T,3,2,other,other,home,father,0,2,1,no,yes,no,yes,yes,yes,yes,no,3,3,3,0,1,3,1,8,11,6
