label,timestamp,duration,pkg,dram,socket
cleaning,1721398861.1372764,345600.932,17491105.0,827818.0,0
preprocessing,1721398861.4829628,426485.591,22991152.0,880247.0,0
knn,1721398862.1966078,869924.816,94697633.0,2007258.0,0
lr,1721398863.0668614,313529.69,43713389.0,1652157.0,0
nn,1721398863.3808043,11496352.397,154745881.0,22422550.0,0
cleaning,1721398945.0553298,338941.696,17452958.0,809568.0,0
syn_ctgan,1721398945.3945024,6890071.314,939470313.0,41976028.0,0
preprocessing_ctgan,1721398952.2853534,452260.449,25077145.0,900571.0,0
knn_ctgan,1721398953.0347836,897151.33,111686726.0,2117609.0,0
lr_ctgan,1721398953.9326913,185976.097,16064046.0,845701.0,0
nn_ctgan,1721398954.119086,11600698.096,156406032.0,22513981.0,0
cleaning,1721399165.2724261,351072.898,17275956.0,836240.0,0
preprocessing,1721399165.6238158,425129.684,21837286.0,848509.0,0
knn,1721399166.3328705,853894.437,93406377.0,1941706.0,0
lr,1721399167.1876433,318180.136,43867075.0,1692745.0,0
nn,1721399167.5063238,11337720.935,155739714.0,22245548.0,0
cleaning,1721399201.1503885,350377.773,17071002.0,833433.0,0
preprocessing,1721399201.5010054,429211.903,22594424.0,858091.0,0
knn,1721399202.2125897,856639.508,93295049.0,1958857.0,0
lr,1721399203.0698788,311743.938,43431285.0,1664608.0,0
nn,1721399203.3821132,11082876.956,153159276.0,21669195.0,0
cleaning,1721399247.4246943,349112.946,18692823.0,831236.0,0
syn_ydata,1721399247.7741222,740963990.419,33283553283.0,1940859106.0,0
preprocessing_ydata,1721399988.7385452,428428.44,24492613.0,858640.0,0
knn_ydata,1721399989.449087,853377.259,96828427.0,1981257.0,0
lr_ydata,1721399990.3029013,234088.047,29208970.0,1136715.0,0
nn_ydata,1721399990.5374775,11134111.988,155919279.0,21731390.0,0
cleaning,1721405519.8869424,348508.776,17642716.0,832212.0,0
preprocessing,1721405520.2355368,435360.307,22971194.0,872679.0,0
knn,1721405520.9598408,879025.636,94413882.0,2092829.0,0
lr,1721405521.839174,314409.92,44158761.0,1670528.0,0
nn,1721405522.1539743,11214986.982,151277872.0,21730841.0,0
cleaning,1721405567.023184,344308.485,17176348.0,819395.0,0
syn_ydata,1721405567.3677447,738582784.756,33540784680.0,1932525020.0,0
preprocessing_ydata,1721406305.950805,428303.583,24405699.0,865965.0,0
knn_ydata,1721406306.6599047,837828.237,95828246.0,1971735.0,0
lr_ydata,1721406307.4980698,234382.486,29925156.0,1161618.0,0
nn_ydata,1721406307.732868,11586330.312,162418346.0,22496342.0,0
cleaning,1723799328.2086723,345027.938,16287007.0,826292.0,0
preprocessing,1723799328.5539114,414602.953,20907173.0,830747.0,0
knn,1723799329.2415674,896369.482,93495244.0,2149408.0,0
lr,1723799330.1386483,312086.027,42286573.0,1686031.0,0
nn,1723799330.451136,10946390.93,149128098.0,21344244.0,0
