label,timestamp,duration,pkg,dram,socket
cleaning,1721398758.4581604,6111.846,300353.0,13855.0,0
preprocessing,1721398758.4643495,30757.84,1537899.0,60302.0,0
knn,1721398758.4953883,44167.403,1243283.0,87891.0,0
lr,1721398758.5406587,19571.108,2774163.0,39429.0,0
nn,1721398758.5605407,944435.298,46482730.0,1929561.0,0
cleaning,1721398858.7847023,6108.926,300841.0,13489.0,0
preprocessing,1721398858.790961,30248.056,1488338.0,58349.0,0
knn,1721398858.834913,44270.913,1163022.0,85998.0,0
lr,1721398858.8802714,19311.661,2704644.0,38880.0,0
nn,1721398858.8998923,1011416.193,46007084.0,2056757.0,0
cleaning,1721398942.368215,6197.556,289916.0,13855.0,0
syn_ctgan,1721398942.3746016,219013.811,13153104.0,519896.0,0
preprocessing_ctgan,1721398942.5938947,29317.736,1455684.0,58411.0,0
knn_ctgan,1721398942.636817,25224.67,1125790.0,53833.0,0
lr_ctgan,1721398942.6623962,17099.823,2145442.0,34667.0,0
nn_ctgan,1721398942.6798024,955367.392,46249149.0,1956233.0,0
cleaning,1721399162.9359758,10623.773,530455.0,41687.0,0
preprocessing,1721399162.9469037,33324.112,1622189.0,74768.0,0
knn,1721399162.9943557,45342.832,1201108.0,89966.0,0
lr,1721399163.0403903,19234.136,2692803.0,39185.0,0
nn,1721399163.05993,1008793.958,46152226.0,2050898.0,0
cleaning,1721399198.8920596,6211.589,296325.0,13550.0,0
preprocessing,1721399198.8984678,30554.612,1482052.0,58228.0,0
knn,1721399198.9429998,43937.23,1246152.0,86120.0,0
lr,1721399198.987397,19217.703,2746636.0,36987.0,0
nn,1721399199.0069234,964847.548,46447085.0,1972651.0,0
cleaning,1721399214.4671705,13250.102,164123.0,29053.0,0
syn_ydata,1721399214.48059,21384537.816,1001845336.0,42639356.0,0
preprocessing_ydata,1721399235.8654459,29433.657,1453609.0,59265.0,0
knn_ydata,1721399235.9088888,17612.74,1015989.0,37536.0,0
lr_ydata,1721399235.9268007,16224.857,2143122.0,35584.0,0
nn_ydata,1721399235.9433415,599507.656,42601881.0,1176938.0,0
cleaning,1721400001.674493,16095.406,174133.0,32714.0,0
syn_dpctgan,1721400001.6908185,93295154.767,5220500307.0,189632938.0,0
preprocessing_dpctgan,1721400094.9862487,28095.259,1416012.0,54687.0,0
knn_dpctgan,1721400095.028576,17275.011,977110.0,35888.0,0
lr_dpctgan,1721400095.046267,21010.723,3140129.0,41504.0,0
nn_dpctgan,1721400095.0675879,617379.215,43526439.0,1229794.0,0
cleaning,1721405517.7242785,6109.419,290893.0,13367.0,0
preprocessing,1721405517.730475,30536.527,1523495.0,61401.0,0
knn,1721405517.7746058,45794.749,1204648.0,90148.0,0
lr,1721405517.821023,19358.786,2565667.0,37475.0,0
nn,1721405517.840697,854395.122,46658572.0,1758663.0,0
cleaning,1721405533.3712368,14772.708,171753.0,30456.0,0
syn_ydata,1721405533.3863883,22165719.835,1004268974.0,44046030.0,0
preprocessing_ydata,1721405555.552368,29141.247,1520382.0,61584.0,0
knn_ydata,1721405555.5950515,17349.105,1041441.0,37476.0,0
lr_ydata,1721405555.612758,18239.472,2456536.0,36804.0,0
nn_ydata,1721405555.6313062,649197.026,42080520.0,1271115.0,0
cleaning,1721406319.3221798,18788.519,200073.0,38208.0,0
syn_dpctgan,1721406319.34113,94999925.89,5415943105.0,192602656.0,0
preprocessing_dpctgan,1721406414.3411808,29716.081,1537045.0,56824.0,0
knn_dpctgan,1721406414.385649,18430.44,1074460.0,39673.0,0
lr_dpctgan,1721406414.40434,21243.122,3181327.0,42846.0,0
nn_dpctgan,1721406414.4259012,657688.852,43983408.0,1305417.0,0
cleaning,1723799325.7837284,6541.034,316284.0,15808.0,0
preprocessing,1723799325.790427,29513.478,1472835.0,58228.0,0
knn,1723799325.8329933,39810.238,1239316.0,77942.0,0
lr,1723799325.8734586,19195.199,2690117.0,38879.0,0
nn,1723799325.8929837,1132825.11,48385191.0,2633783.0,0
